"1", "Analog Barbershop", "http://www.dailyemerald.com/wp-content/uploads/2012/10/121008.mca_.AnalogBarbershop.047.jpg"
"2", "Anderson's Barbershop", "http://s3-media2.fl.yelpcdn.com/bphoto/RXSGFe21_l8n2D3AwesetA/ls.jpg"
"3", "Barre 3", "http://s3-media4.fl.yelpcdn.com/bphoto/paZJ4Z5cwxOyESco4aIkdw/o.jpg"
"4", "Downtown Athletic Club", "https://reporting1blog.files.wordpress.com/2011/10/dsc_00341.jpg"
"5", "Imagine Salon", ""
"6", "London Hair", ""
"7", "Parlour Tattoo", "http://blogs.uoregon.edu/odietch2f14gateway/files/2012/09/1Establishing_oliviadietchIntheMoment-1wcahng.jpg"
"8", "Urban Waxx", "http://www.urbanwaxx.com/images/large_computer.jpg"
"9", "Man's World", "http://www.mansworldbestbarbers.com/sites/default/files/styles/large/public/201303/best-barbers.jpg?itok=S_n0TBoM"
