premises,expiration,licensee,type,second_location,street_address,city,county,state,zip
3653,2016-06-30,EXCELSIOR INNS INC,F-COM,,754 E 13TH AVE,EUGENE,LANE,OR,97401
49152,2016-06-30,FALLING SKY BREWING LLC,BP,,1334 OAK ALLEY,EUGENE,LANE,OR,97401
49152,2016-06-30,FALLING SKY BREWING LLC,F-COM,,1334 OAK ALLEY,EUGENE,LANE,OR,97401
50972,2016-06-30,FIRST NATIONAL TAP HOUSE LLC,O,,51 W BROADWAY,EUGENE,LANE,OR,97401
50973,2016-06-30,FIRST NATIONAL TAP HOUSE LLC,F-COM,,51 W BROADWAY,EUGENE,LANE,OR,97401
40859,2016-06-30,FLAVORS CATERING & EVENTS LLC,F-COM,,2000 CAL YOUNG RD,EUGENE,LANE,OR,97401
41957,2016-06-30,GLENWOOD RESTAURANTS INC,L,,1340 ALDER ST,EUGENE,LANE,OR,97401
4697,2016-06-30,RENEGADE INVESTMENTS INC,F-COM,,375 E 7TH AVE,EUGENE,LANE,OR,97401
43451,2016-06-30,FEDERIGO'S INC,F-COM,,259 E 5TH AVE,EUGENE,LANE,OR,97401
54337,2016-06-30,YOUNG CHAN OH,F-COM,,959 PEARL ST,EUGENE,LANE,OR,97401
51187,2016-06-30,GROWLER NATION INC,L,,440 COBURG RD #102,EUGENE,LANE,OR,97401
51187,2016-06-30,GROWLER NATION INC,O,,440 COBURG RD #102,EUGENE,LANE,OR,97401
54355,2016-06-30,TREE HOUSE 6  LLC,F-PC,,44 E 7TH AVE,EUGENE,LANE,OR,97401
53375,2016-06-30,HIGGINS PETROLEUM INC,O,,1796 WILLAMETTE ST,EUGENE,LANE,OR,97401
18418,2016-06-30,MCMENAMIN'S INC,F-COM,,1243 HIGH ST,EUGENE,LANE,OR,97401
18418,2016-06-30,MCMENAMIN'S INC,BP,,1243 HIGH ST,EUGENE,LANE,OR,97401
10352,2016-06-30,DAVIDSON HOTEL COMPANY LLC,F-COM,,66 E 6TH AVE,EUGENE,LANE,OR,97401
4683,2016-06-30,CHUCK YU,O,,1698 HILYARD ST,EUGENE,LANE,OR,97401
13677,2016-06-30,EASY JOY CO LTD,L,,1799 WILLAMETTE ST,EUGENE,LANE,OR,97401
47814,2016-06-30,HOT MAMA'S WINGS INC,F-COM,,420 W 13TH AVE,EUGENE,LANE,OR,97401
27110,2016-06-30,INN AT FIFTH STREET MARKET LLC,O,,205 E 6TH AVE / 296 & 248 E 5TH AVE,EUGENE,LANE,OR,97401
27110,2016-06-30,INN AT FIFTH STREET MARKET LLC,F-COM,,205 E 6TH AVE / 296 & 248 E 5TH AVE,EUGENE,LANE,OR,97401
10335,2016-06-30,JACOB KAINALU INC,F-COM,,453 WILLAMETTE ST,EUGENE,LANE,OR,97401
27241,2016-06-30,JACKSONS FOOD STORES INC,O,,274 COBURG RD,EUGENE,LANE,OR,97401
26957,2016-06-30,JACKSONS FOOD STORES INC,O,,330 W 7TH AVE,EUGENE,LANE,OR,97401
14230,2016-06-30,JADE PALACE LLC,L,,906 W 7TH AVE,EUGENE,LANE,OR,97401
35718,2016-06-30,JAMESON'S INC,F-COM,,115 W BROADWAY,EUGENE,LANE,OR,97401
22324,2016-06-30,JASPER'S FOOD MGMT INC,L,,1504 COBURG RD,EUGENE,LANE,OR,97401
36292,2016-06-30,JOHNNY OCEANS GAH RESTAURANTS INC,F-COM,,114 OAKWAY CENTER,EUGENE,LANE,OR,97401
42791,2016-06-30,KAMITORI LLC,L,,1044 WILLAMETTE,EUGENE,LANE,OR,97401
48100,2016-12-31,MONIKA RAUCH,CERA,,555 LINCOLN ST,EUGENE,LANE,OR,97401
42007,2016-06-30,MONIKA RAUCH,WMBW,,555 LINCOLN ST,EUGENE,LANE,OR,97401
3658,2016-06-30,KOWLOON II CORPORATION,F-COM,,2222 MLK JR BLVD,EUGENE,LANE,OR,97401
3658,2016-06-30,KOWLOON II CORPORATION,O,,2222 MLK JR BLVD,EUGENE,LANE,OR,97401
39163,2016-06-30,CHILE PEPPER INC,F-COM,,1491 WILLAMETTE ST,EUGENE,LANE,OR,97401
43949,2016-06-30,LA PERLA INC,L,,1313 PEARL ST,EUGENE,LANE,OR,97401
50768,2016-06-30,LANE COMMUNITY COLLEGE,F-PL,,101 W 10TH ST,EUGENE,LANE,OR,97401
49613,2016-06-30,LEVEL UP ARCADE LLC,F-COM,,1290 OAK ST,EUGENE,LANE,OR,97401
27513,2016-06-30,LEWIS AND CLARK CATERING COMPANY LLC,F-PL,,2210 MLK JR BLVD,EUGENE,LANE,OR,97401
4634,2016-06-30,KUNSIK KIM,O,,544 E 13TH AVE,EUGENE,LANE,OR,97401
4586,2016-06-30,NARVINDER VIRK,O,,536 E 11TH AVE,EUGENE,LANE,OR,97401
36323,2016-06-30,AMIGO INNS INC,F-COM,,4730 VILLAGE PLAZA LP #170,EUGENE,LANE,OR,97401
4658,2016-06-30,MOHAWK INVESTMENTS INC,F-COM,,933 OLIVE ST,EUGENE,LANE,OR,97401
36463,2016-06-30,MAC BROTHERS CORP,F-COM,,1626 WILLAMETTE ST,EUGENE,LANE,OR,97401
54188,2016-06-30,NAITO CORPORATION,O,,296 E 5TH AVE #119,EUGENE,LANE,OR,97401
53749,2016-06-30,MAKOTO INC,F-COM,,1167 WILLAMETTE ST,EUGENE,LANE,OR,97401
39866,2016-06-30,MARKET OF CHOICE INC,O,,2580 WILLAKENZIE RD,EUGENE,LANE,OR,97401
17438,2016-06-30,MARKET OF CHOICE INC,O,,1060 GREEN ACRES RD,EUGENE,LANE,OR,97401
20021,2016-06-30,MCGRATH'S PUBLICK FISH HOUSE INC,F-COM,,1036 VALLEY RIVER WY,EUGENE,LANE,OR,97401
51877,2016-03-31,MCMENAMIN'S INC,DISTT,217658,22 CLUB RD,EUGENE,LANE,OR,97401
28870,2016-06-30,MCMENAMIN'S INC,F-COM,,22 CLUB RD,EUGENE,LANE,OR,97401
35657,2016-06-30,MCMENAMIN'S INC,BP,222616,22 CLUB RD,EUGENE,LANE,OR,97401
38793,2016-06-30,DOUGH BROS INC,L,,933 PEARL STREET,EUGENE,LANE,OR,97401
45703,2016-06-30,EUGENE SUSHI INC,F-COM,,132 OAKWAY CENTER,EUGENE,LANE,OR,97401
7352,2016-06-30,DS & J RESTAURANTS INC,F-COM,,610 E BROADWAY,EUGENE,LANE,OR,97401
35432,2016-06-30,MUCHO INC,F-COM,,67 OAKWAY CENTER,EUGENE,LANE,OR,97401
4561,2016-06-30,KIMBERLEY FAIRBAIRN,F-COM,,550 E 13TH AVE,EUGENE,LANE,OR,97401
8044,2016-06-30,NEWMAN'S FISH CO INC,O,,1545 WILLAMETTE ST,EUGENE,LANE,OR,97401
52486,2016-06-30,NEWMAN'S FISH COMPANY INC,L,,485 COBURG RD SUITE H,EUGENE,LANE,OR,97401
50251,2016-06-30,PORKY PIE LLC,L,,200 W BROADWAY,EUGENE,LANE,OR,97401
50251,2016-06-30,PORKY PIE LLC,O,,200 W BROADWAY,EUGENE,LANE,OR,97401
48527,2016-06-30,NOODLE HEAD INC,L,,880 E 13TH AVE,EUGENE,LANE,OR,97401
49626,2016-06-30,THE NOODLE SHOP CO COLORADO INC,L,,1053 VALLEY RIVER WAY,EUGENE,LANE,OR,97401
52964,2016-06-30,WMINIHAN INC,O,,1530 COBURG RD,EUGENE,LANE,OR,97401
53286,2016-06-30,NORTHWEST BURGERS LLC,L,,296 E 5TH ST #204,EUGENE,LANE,OR,97401
37460,2016-06-30,OAKWAY GOLF INC,L,,2000 CAL YOUNG RD,EUGENE,LANE,OR,97401
51270,2016-06-30,LORD LEEBRICK THEATRE COMPANY,F-PL,,194 W BROADWAY,EUGENE,LANE,OR,97401
3654,2016-06-30,OES RESTAURANT GROUP LLC,F-COM,,27 E ST 5TH AVE,EUGENE,LANE,OR,97401
51461,2016-06-30,WILLIAM ROSE WINES LLC,WY,,488 LINCOLN ST,EUGENE,LANE,OR,97401
46948,2016-06-30,UUO 118 LLC,F-COM,,105 OAKWAY CENTER,EUGENE,LANE,OR,97401
4653,2016-06-30,COBURG PAPA'S LLC,L,,1577 COBURG RD,EUGENE,LANE,OR,97401
40576,2016-06-30,SHERRI THIEBEN,L,,776 W PARK ST,EUGENE,LANE,OR,97401
38283,2016-06-30,PASTA PLUS INC,O,,385 W 2ND AVE UNIT C,EUGENE,LANE,OR,97401
47079,2016-06-30,POWDER RIVER PARTNERS INC,L,,4 OAKWAY CENTER,EUGENE,LANE,OR,97401
11260,2016-06-30,POWDER RIVER ASSOC INC,F-COM,,790 E 14TH AVE,EUGENE,LANE,OR,97401
41616,2016-06-30,PF CHANG'S CHINA BISTRO INC,F-COM,,124 COBURG RD,EUGENE,LANE,OR,97401
3647,2016-06-30,PIZZA HUT OF SE KANSAS INC,L,,579 E BROADWAY,EUGENE,LANE,OR,97401
49299,2016-06-30,O G NOODLES LLC,F-COM,,150 SHELTON MCMURPHEY BLVD #103,EUGENE,LANE,OR,97401
17482,2016-06-30,POPPIS ANATOLIA LLC,L,,992 WILLAMETTE ST,EUGENE,LANE,OR,97401
39625,2016-06-30,KUROKUMA INC,F-COM,,296 E 5TH ST #221,EUGENE,LANE,OR,97401
47859,2016-06-30,RED LOBSTER HOSPITALITY LLC,F-COM,,1085 VALLEY RIVER WAY,EUGENE,LANE,OR,97401
20132,2016-06-30,RED ROBIN INTERNATIONAL INC,F-COM,,1221 EXECUTIVE PKWY,EUGENE,LANE,OR,97401
4685,2016-06-30,TAYLOR'S COFFEE SHOP INC,F-COM,,1214 KINCAID ST,EUGENE,LANE,OR,97401
38677,2016-06-30,HOTEL INVESTMENT PROPERTY ONE LLC,O,,25 CLUB RD,EUGENE,LANE,OR,97401
38678,2016-06-30,HOTEL INVESTMENT PROPERTY ONE LLC,L,,25 CLUB RD,EUGENE,LANE,OR,97401
17442,2016-06-30,THRIFTY PAYLESS INC,O,,1560 COBURG RD,EUGENE,LANE,OR,97401
18778,2016-06-30,RIVER RIDGE LTD,L,,3800 N DELTA HWY,EUGENE,LANE,OR,97401
49365,2016-06-30,A BETTER BAR LLC,F-COM,,444 E 3RD AVE,EUGENE,LANE,OR,97401
49364,2016-06-30,A BETTER BAR LLC,O,,444 E 3RD AVE,EUGENE,LANE,OR,97401
4668,2016-06-30,SAFEWAY INC,O,,1500 COBURG RD,EUGENE,LANE,OR,97401
4666,2016-06-30,SAFEWAY INC,O,,145 E 18TH AVE,EUGENE,LANE,OR,97401
51319,2016-06-30,SAM BOND'S BREWING LLC,BP,,540 E 8TH AVE,EUGENE,LANE,OR,97401
